ID_imagen,Clase,Latitud,Longitud,defectuoso
1713374659901192.jpg,Informacion-verde,-32.56126985484102,-57.48186360128307,False
1713374659901192.jpg,Otras-(Reglamentacion),-32.5613219207599,-57.48184687552409,False
1713374722627420.jpg,Otras-(Reglamentacion),-32.56133298081897,-57.48186516749618,False
1713374722627420.jpg,Informacion-verde,-32.56128134895457,-57.48187720490314,False
1713374797179103.jpg,Informacion-verde,-32.56128591389711,-57.48187984467409,False
1713374797179103.jpg,Otras-(Reglamentacion),-32.56133717348795,-57.48186873920046,False
1713374872560897.jpg,Otras-(Reglamentacion),-32.56133620875718,-57.4818648420755,False
1713374908699136.jpg,Otras-(Reglamentacion),-32.56134562720909,-57.48187336255562,False
1713374908699136.jpg,Informacion-verde,-32.5613379489563,-57.48198285816444,False
1713374925666105.jpg,Informacion-verde,-32.56185335082912,-57.48060814170852,True
1713374950563489.jpg,Clasicas-(Prevencion),-32.56317556490729,-57.47608058830974,False
1713374955460200.jpg,Clasicas-(Prevencion),-32.56355868302814,-57.4751973052335,False
1713374981874874.jpg,Clasicas-(Prevencion),-32.56357925026597,-57.47037864250338,False
1713374981874874.jpg,Clasicas-(Prevencion),-32.56347500937159,-57.4703893044282,False
1713375004427353.jpg,Clasicas-(Prevencion),-32.56309432303755,-57.46574525634115,False
1713375038497464.jpg,Clasicas-(Prevencion),-32.56267226421252,-57.45829827392355,False
1713375038497464.jpg,Clasicas-(Prevencion),-32.56257027791766,-57.45829814880738,False
1713375055187677.jpg,Clasicas-(Prevencion),-32.56236329629994,-57.45466764969653,False
1713375055187677.jpg,Clasicas-(Prevencion),-32.56247148979687,-57.4546730501641,False
1713375060015424.jpg,Clasicas-(Prevencion),-32.56236340393855,-57.45340550035138,False
1713375060015424.jpg,Clasicas-(Prevencion),-32.56226753165981,-57.45344555399851,False
1713375080567845.jpg,Clasicas-(Prevencion),-32.56193676390379,-57.44898451279013,False
1713375102844457.jpg,Clasicas-(Prevencion),-32.56178908933867,-57.44361451193055,False
1713375102844457.jpg,Clasicas-(Prevencion),-32.56188126342447,-57.44361920704934,False
1713375313955127.jpg,Otras-(Prevencion),-32.5587442255919,-57.39609901430644,False
1713375329610844.jpg,Clasicas-(Prevencion),-32.55859251441166,-57.39480661994765,False
1713375336024854.jpg,Otras-(Informacion),-32.55857212386992,-57.39422279610409,False
1713375354025480.jpg,Otras-(Reglamentacion),-32.55850733686133,-57.39305279647747,False
1713375363198212.jpg,Otras-(Informacion),-32.5585665837096,-57.39209894579675,False
1713375374543434.jpg,Clasicas-(Prevencion),-32.55904130091896,-57.39125982160594,False
1713375391095739.jpg,Clasicas-(Prevencion),-32.55933291949803,-57.39081849478812,False
1713375398129574.jpg,Clasicas-(Prevencion),-32.55950870824132,-57.3901558068506,False
1713375405992805.jpg,Clasicas-(Prevencion),-32.55961307059176,-57.389657724663,False
1713375422545108.jpg,Clasicas-(Prevencion),-32.55977635416018,-57.38905309689849,False
1713375424958988.jpg,Clasicas-(Prevencion),-32.55979905548699,-57.38882074378855,False
1713375436683533.jpg,Clasicas-(Prevencion),-32.56002945667276,-57.38774274431999,False
